"","hostID","time_disc","sample_name","group","genotype","diseased","PC1","PC2","PC3"
"181","sub30",43,"11953.WT16.tp36","healthy wild type","WT","no",53.7776021857427,-2.37829466142215,0
"182","sub30",52,"11953.WT16.tp44","healthy wild type","WT","no",50.105512518284,-0.778981540170744,0
"183","sub30",60,"11953.WT16.tp52","healthy wild type","WT","no",48.4450562714353,-1.45503173511782,0
"184","sub30",68,"11953.WT16.tp60","healthy wild type","WT","no",49.5577658272689,-2.21979661036776,0
"185","sub30",8,"11953.WT16.tp08","healthy wild type","WT","no",0.898922389910741,-16.2347760782256,84.0686945721478
"186","sub31",0,"11953.WT9.tp00","healthy wild type","WT","no",42.3839551217103,0,41.1526595622571
"187","sub31",16,"11953.WT9.tp12","healthy wild type","WT","no",52.9912612170099,18.4401980784137,1.9070752178133
"188","sub31",26,"11953.WT9.tp20","healthy wild type","WT","no",50.2036259696733,9.61247479409651,0
"189","sub31",35,"11953.WT9.tp28","healthy wild type","WT","no",51.9937562643571,12.0272541756077,0.0855200461785398
"190","sub31",43,"11953.WT9.tp36","healthy wild type","WT","no",49.0383692008561,10.2578679500011,0
"191","sub31",51,"11953.WT9.tp44","healthy wild type","WT","no",48.0088168536023,10.2118450682466,0
"192","sub31",60,"11953.WT9.tp52","healthy wild type","WT","no",44.1757620057058,6.27572505796004,0
"193","sub31",68,"11953.WT9.tp60","healthy wild type","WT","no",45.1904123395721,9.57424699065526,0
"194","sub31",78,"11953.WT9.tp68","healthy wild type","WT","no",42.6953112621318,8.05944121255803,0
"195","sub31",87,"11953.WT9.tp76","healthy wild type","WT","no",39.5243970485925,7.3438656188981,0
"196","sub32",0,"11953.WT10.tp00","healthy wild type","WT","no",46.6745787098078,0,42.5010513302416
"197","sub32",16,"11953.WT10.tp12","healthy wild type","WT","no",58.3556863794997,27.2111146598581,1.96956169018179
"198","sub32",26,"11953.WT10.tp20","healthy wild type","WT","no",55.2858525144812,14.1845631307696,0
"199","sub32",35,"11953.WT10.tp28","healthy wild type","WT","no",57.2572017455783,17.7479108968374,0.088322162189787
"200","sub32",43,"11953.WT10.tp36","healthy wild type","WT","no",54.0026341688334,15.1369318141931,0
"201","sub32",51,"11953.WT10.tp44","healthy wild type","WT","no",52.8688579101107,15.0690185571298,0
"202","sub32",60,"11953.WT10.tp52","healthy wild type","WT","no",48.6477742551425,9.26071799227579,0
"203","sub32",68,"11953.WT10.tp60","healthy wild type","WT","no",49.7651399359757,14.1281526118473,0
"204","sub32",78,"11953.WT10.tp68","healthy wild type","WT","no",47.0174541361609,11.8928429074753,0
"205","sub32",87,"11953.WT10.tp76","healthy wild type","WT","no",43.5255411087691,10.8369101325628,0
"206","sub33",0,"11953.WT4.tp00","healthy wild type","WT","no",52.0291979715329,0,36.1947523991947
"207","sub33",18,"11953.WT4.tp12","healthy wild type","WT","no",54.9548140718914,1.8929762808661,5.69813823578227
"208","sub33",25,"11953.WT4.tp20","healthy wild type","WT","no",59.298302993599,14.8454782956879,3.21030103202131
"209","sub33",34,"11953.WT4.tp28","healthy wild type","WT","no",56.7260145146003,15.6905845364264,0
"210","sub33",43,"11953.WT4.tp36","healthy wild type","WT","no",60.1979454731338,14.5333847039762,0
"211","sub33",51,"11953.WT4.tp44","healthy wild type","WT","no",58.9340996913161,14.468179317342,0
"212","sub33",60,"11953.WT4.tp52","healthy wild type","WT","no",54.2287632274523,8.89147013865658,0
"213","sub33",68,"11953.WT4.tp60","healthy wild type","WT","no",55.4743157706497,13.564828036811,0
"214","sub34",0,"11953.L179.tp0","predisposed, remained healthy","Pax5+/-","no",56.1675275371762,0,27.4735032461943
"215","sub34",12,"11953.L179.tp12","predisposed, remained healthy","Pax5+/-","no",61.289558880489,0,1.80105740058547
"216","sub34",22,"11953.L179.tp20","predisposed, remained healthy","Pax5+/-","no",57.7158897735217,-4.2951127836236,0
"217","sub34",30,"11953.L179.tp28","predisposed, remained healthy","Pax5+/-","no",57.6447010304793,-5.63097485803718,0
"218","sub34",39,"11953.L179.tp36","predisposed, remained healthy","Pax5+/-","no",56.6889047868945,-5.26736396672008,0.699582247604451
"219","sub34",47,"11953.L179.tp40","predisposed, remained healthy","Pax5+/-","no",56.3924292676367,-3.1101570722646,3.69365014269727
"220","sub34",56,"11953.L179.tp44","predisposed, remained healthy","Pax5+/-","no",55.8282727749544,-3.71965370167816,0
"221","sub34",65,"11953.L179.tp52","predisposed, remained healthy","Pax5+/-","no",54.5587200450056,-1.70073909551868,0
"222","sub34",73,"11953.L179.tp60","predisposed, remained healthy","Pax5+/-","no",54.1532519654869,-2.6629120013162,0
"223","sub34",83,"11953.L179.tp68","predisposed, remained healthy","Pax5+/-","no",53.3154270339638,-2.9420792599674,0
"224","sub35",0,"11953.WT8.tp00","healthy wild type","WT","no",49.7676543307021,0,55.06725015678
"225","sub35",16,"11953.WT8.tp12","healthy wild type","WT","no",62.2228568151068,11.2657965959149,2.5518979624694
"226","sub35",26,"11953.WT8.tp20","healthy wild type","WT","no",58.9495882635726,5.87261510712397,0
"227","sub35",35,"11953.WT8.tp28","healthy wild type","WT","no",61.0515767508885,7.34789282488124,0.11443619504612
"228","sub35",4,"11953.WT8.tp04","healthy wild type","WT","no",14.5962719964911,27.41021557878,35.7708273130975
"229","sub35",43,"11953.WT8.tp36","healthy wild type","WT","no",57.5813323773423,6.26690957120176,0
"230","sub35",51,"11953.WT8.tp44","healthy wild type","WT","no",56.3724219491778,6.23879249662377,0
"231","sub35",60,"11953.WT8.tp52","healthy wild type","WT","no",51.8716114855734,3.83407172169304,0
"232","sub35",68,"11953.WT8.tp60","healthy wild type","WT","no",53.0630238239779,5.84926033316512,0
"233","sub35",78,"11953.WT8.tp68","healthy wild type","WT","no",50.1332517537304,4.92380965710448,0
"234","sub35",87,"11953.WT8.tp76","healthy wild type","WT","no",46.4099332942197,4.48663815531834,0
"235","sub36",0,"11953.L643.tp0","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",57.1299865048689,0,36.7753418048246
"236","sub36",13,"11953.L643.tp12","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",60.2594789169083,-20.4217119850166,0.35222689061975
